ID,Dataset,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
91,Training,"InChI=1S/C26H19Br3N8O3/c1-39-16-6-4-15(5-7-16)30-26(38)33-25-32-22-17(24-31-23(35-37(24)25)21-3-2-10-40-21)13-36(34-22)9-8-14-11-19(28)20(29)12-18(14)27/h2-7,10-13H,8-9H2,1H3,(H2,30,32,33,34,38)",4.600 ,103992576,4.600 ,4.611 ,4.576 ,4.388 ,4.586 ,4.580 ,4.580 ,4.580 ,4.580 
92,Training,"InChI=1S/C21H19ClN8O2/c1-2-3-10-29-12-13-17(27-29)25-20(26-21(31)23-15-8-5-4-7-14(15)22)30-19(13)24-18(28-30)16-9-6-11-32-16/h4-9,11-12H,2-3,10H2,1H3,(H2,23,25,26,27,31)",6.070 ,104004390,6.070 ,6.053 ,6.131 ,5.945 ,6.142 ,6.085 ,6.085 ,6.085 ,6.085 
93,Training,"InChI=1S/C21H19ClN8O2/c1-2-3-9-29-12-15-17(27-29)25-20(26-21(31)23-14-7-4-6-13(22)11-14)30-19(15)24-18(28-30)16-8-5-10-32-16/h4-8,10-12H,2-3,9H2,1H3,(H2,23,25,26,27,31)",6.220 ,103992575,6.220 ,6.012 ,5.945 ,5.813 ,5.947 ,5.861 ,5.861 ,5.861 ,5.861 
94,Training,"InChI=1S/C13H8ClN5O/c14-7-3-4-9-8(6-7)12-17-11(10-2-1-5-20-10)18-19(12)13(15)16-9/h1-6H,(H2,15,16)",4.071 ,103918155,4.071 ,4.071 ,4.082 ,3.963 ,4.088 ,4.071 ,4.071 ,4.071 ,4.071 
95,Training,"InChI=1S/C26H30N8O2/c1-3-4-5-6-7-8-15-33-17-20-22(31-33)29-25(30-26(35)27-19-13-11-18(2)12-14-19)34-24(20)28-23(32-34)21-10-9-16-36-21/h9-14,16-17H,3-8,15H2,1-2H3,(H2,27,29,30,31,35)",5.390 ,104045456,5.390 ,5.391 ,5.272 ,5.140 ,5.268 ,5.365 ,5.365 ,5.365 ,5.365 
96,Training,"InChI=1S/C23H24N8O2/c1-23(2,3)27-22(32)26-21-25-18-16(14-30(28-18)12-11-15-8-5-4-6-9-15)20-24-19(29-31(20)21)17-10-7-13-33-17/h4-10,13-14H,11-12H2,1-3H3,(H2,25,26,27,28,32)",5.310 ,104045431,5.310 ,5.082 ,5.184 ,4.881 ,5.200 ,5.159 ,5.159 ,5.159 ,5.159 
97,Test,"InChI=1S/C19H15FN8O2/c1-2-27-10-13-15(25-27)23-18(24-19(29)21-12-7-5-11(20)6-8-12)28-17(13)22-16(26-28)14-4-3-9-30-14/h3-10H,2H2,1H3,(H2,21,23,24,25,29)",6.070 ,104004397,6.807 ,6.400 ,6.313 ,6.530 ,6.341 ,6.397 ,6.397 ,6.397 ,6.397 
98,Test,"InChI=1S/C17H11ClN8O2/c18-9-3-1-4-10(7-9)20-17(27)23-16-22-13-11(8-19-24-13)15-21-14(25-26(15)16)12-5-2-6-28-12/h1-8H,(H3,19,20,22,23,24,27)",6.300 ,103992559,6.754 ,,6.922 ,6.675 ,6.925 ,6.959 ,6.959 ,6.959 ,6.959 
99,Test,"InChI=1S/C19H24N8O2/c1-11(2)7-8-26-10-13-15(24-26)22-18(23-19(28)20-12(3)4)27-17(13)21-16(25-27)14-6-5-9-29-14/h5-6,9-12H,7-8H2,1-4H3,(H2,20,22,23,24,28)",4.190 ,104045445,4.345 ,2.820 ,4.322 ,4.668 ,4.336 ,4.551 ,4.551 ,4.551 ,4.551 
100,Test,"InChI=1S/C18H12Cl2N8O2/c1-27-8-10-14(25-27)23-17(24-18(29)21-9-4-5-11(19)12(20)7-9)28-16(10)22-15(26-28)13-3-2-6-30-13/h2-8H,1H3,(H2,21,23,24,25,29)",5.470 ,104004393,5.746 ,5.602 ,5.659 ,6.324 ,5.623 ,5.817 ,5.817 ,5.817 ,5.817 
